Interval,Humidity.Average,Temperature.Average
11/13/20 2:12,60.41993051,18.73658279
11/13/20 2:24,60.41003215,18.86201709
11/13/20 2:36,60.38913619,18.8317339
11/13/20 2:48,60.71030387,18.77043084
11/13/20 3:00,60.93392435,18.62134251
11/13/20 3:12,61.23593319,18.48066206
11/13/20 3:24,61.24895407,18.53060913
11/13/20 3:36,61.29816133,18.3509922
11/13/20 3:48,61.25909437,18.35543012
11/13/20 4:00,61.2715841,18.16652497
11/13/20 4:12,61.54863939,18.21947009
11/13/20 4:24,61.89244215,18.26523918
11/13/20 4:36,62.22552143,17.96441856
11/13/20 4:48,62.14089916,17.95983387
11/13/20 5:00,62.18099658,18.02699556
11/13/20 5:12,62.14849729,17.93379074
11/13/20 5:24,62.09085287,17.83588564
11/13/20 5:36,62.49964627,17.78895813
11/13/20 5:48,62.85795298,17.8479087
11/13/20 6:00,62.96879174,17.73036785
11/13/20 6:12,63.10932738,17.72138728
11/13/20 6:24,63.21507793,17.46101437
11/13/20 6:36,62.98890382,17.74378612
11/13/20 6:48,63.23761263,17.74051178
11/13/20 7:00,64.58676595,17.4654338
11/13/20 7:12,64.47931248,18.30798944
11/13/20 7:24,62.96183202,18.63387175
11/13/20 7:36,61.84747997,19.11500583
11/13/20 7:48,61.9639304,19.10218693
11/13/20 8:00,60.6199659,19.58471354
11/13/20 8:12,60.36107742,19.86718693
11/13/20 8:24,60.08879302,19.82811852
11/13/20 8:36,60.09521462,19.64265202
11/13/20 8:48,60.68264852,19.27668453
11/13/20 9:00,61.13555724,19.26705757
11/13/20 9:12,62.10524394,19.05960147
11/13/20 9:24,62.91407269,19.39664166
11/13/20 9:36,61.33022429,19.50471159
11/13/20 9:48,61.18496226,19.58143333
11/13/20 10:00,61.4351785,19.4807287
11/13/20 10:12,61.83994967,19.50834006
11/13/20 10:24,60.87269588,19.94684575
11/13/20 10:36,61.19105818,20.42713916
11/13/20 10:48,59.3609571,20.968153
11/13/20 11:00,58.75051989,21.18530981
11/13/20 11:12,60.58049949,21.16399002
11/13/20 11:24,61.84556729,20.31931873
11/13/20 11:36,61.54270305,20.45050098
11/13/20 11:48,60.41729583,20.51948635
11/13/20 12:00,59.3882635,21.05532312
11/13/20 12:12,58.54006025,21.19028252
11/13/20 12:24,58.94173498,20.91618228
11/13/20 12:36,59.11818388,21.08706205
11/13/20 12:48,59.39122616,20.63883889
11/13/20 13:00,59.50971724,20.91888448
11/13/20 13:12,59.55379749,20.43647121
11/13/20 13:24,59.84722899,20.67938893
11/13/20 13:36,59.52339944,20.59730293
11/13/20 13:48,59.82143143,20.57006869
11/13/20 14:00,59.92000015,20.83612132
11/13/20 14:12,58.46839312,21.03676194
11/13/20 14:24,58.10088742,21.2700445
11/13/20 14:36,58.70969151,20.95759561
11/13/20 14:48,58.27903007,21.09918698
11/13/20 15:00,59.03039018,20.97280186
11/13/20 15:12,59.43030056,20.65345665
11/13/20 15:24,59.22248904,20.94557961
11/13/20 15:36,59.54471134,20.37341845
11/13/20 15:48,59.52693956,20.72140028
11/13/20 16:00,59.02252581,20.40737249
11/13/20 16:12,59.22565066,20.5355113
11/13/20 16:24,59.24763685,20.7634237
11/13/20 16:36,58.64858561,20.27784591
11/13/20 16:48,57.35292409,21.32332192
11/13/20 17:00,57.93831762,20.67220469
11/13/20 17:12,57.70521088,20.90508984
11/13/20 17:24,57.70527462,20.75371577
11/13/20 17:36,58.6656991,20.55752183
11/13/20 17:48,58.7956984,20.82476229
11/13/20 18:00,58.60676679,20.23784719
11/13/20 18:12,58.77676746,20.68047293
11/13/20 18:24,58.65186428,20.37763733
11/13/20 18:36,58.84366286,20.33686579
11/13/20 18:48,58.84598837,20.64615667
11/13/20 19:00,58.49886113,20.12713909
11/13/20 19:12,58.61922431,20.63761704
11/13/20 19:24,58.44121521,20.09568886
11/13/20 19:36,57.70741431,20.23434701
11/13/20 19:48,57.70233063,20.13642744
11/13/20 20:00,58.32649717,19.96612754
11/13/20 20:12,57.55651933,20.09686434
11/13/20 20:24,57.65381417,19.64830402
11/13/20 20:36,57.93821611,19.96286963
11/13/20 20:48,58.17406812,19.65365824
11/13/20 21:00,58.21166334,19.70288485
11/13/20 21:12,58.65713061,19.82516516
11/13/20 21:24,58.75082466,19.60775208
11/13/20 21:36,59.20970105,19.76548792
11/13/20 21:48,59.55564794,19.39019882
11/13/20 22:00,59.5193363,19.6269082
11/13/20 22:12,59.28713092,19.2915807
11/13/20 22:24,59.57137524,19.33564197
11/13/20 22:36,59.56722702,19.41604947
11/13/20 22:48,59.31140698,19.06856859
11/13/20 23:00,60.52493595,19.70382013
11/13/20 23:12,60.45463935,19.0236714
11/13/20 23:24,60.15195679,19.48484909
11/13/20 23:36,60.44855642,19.12935129
11/13/20 23:48,60.93288687,19.22202106
11/14/20 0:00,61.11204125,19.45911903
11/14/20 0:12,61.0463608,18.8254651
11/14/20 0:24,60.44915752,19.31058179
11/14/20 0:36,60.24461531,18.87286801
11/14/20 0:48,60.40189694,19.11284045
11/14/20 1:00,60.56101249,19.19581801
11/14/20 1:12,59.53140345,18.80144455
11/14/20 1:24,59.79087397,19.27495419
11/14/20 1:36,59.81592703,18.5563379
11/14/20 1:48,59.7067049,19.14293006
11/14/20 2:00,60.09567387,18.87583803
11/14/20 2:12,60.12531911,18.63220056
11/14/20 2:24,59.78422638,18.95362009
11/14/20 2:36,60.17514901,18.32798525
11/14/20 2:48,60.49358798,18.85981737
11/14/20 3:00,60.26996776,18.33744138
11/14/20 3:12,60.32732854,18.46323894
11/14/20 3:24,60.45967487,18.45451324
11/14/20 3:36,60.42562728,18.2484173
11/14/20 3:48,60.8220864,18.47419603
11/14/20 4:00,61.45103722,18.07846544
11/14/20 4:12,61.24800415,18.29713675
11/14/20 4:24,61.08356889,18.09112568
11/14/20 4:36,61.37469857,18.14969308
11/14/20 4:48,61.31422524,18.09592838
11/14/20 5:00,60.90947048,17.8034168
11/14/20 5:12,61.45012906,18.12917212
11/14/20 5:24,61.57987076,17.62328501
11/14/20 5:36,61.79390334,17.96827099
11/14/20 5:48,62.18581428,17.65244114
11/14/20 6:00,62.29809861,17.64013536
11/14/20 6:12,62.05713152,17.76886904
11/14/20 6:24,62.14809424,17.48978237
11/14/20 6:36,62.22547435,17.85864365
11/14/20 6:48,62.0802815,17.22275927
11/14/20 7:00,62.16160265,17.46407529
11/14/20 7:12,62.7375575,17.34609527
11/14/20 7:24,62.55159912,17.17213974
11/14/20 7:36,62.99792128,17.47268172
11/14/20 7:48,62.73083943,16.96626319
11/14/20 8:00,63.31942628,17.7110673
11/14/20 8:12,63.04136815,17.93639893
